ZipCode;Latitude;Longitude;State;StateFullName;City
01254;42.379056;-73.365874;MA;Massachusetts;Richmond
01255;42.113526;-73.119992;MA;Massachusetts;Sandisfield
01256;42.589611;-73.022988;MA;Massachusetts;Savoy
01257;42.10393;-73.367684;MA;Massachusetts;Sheffield
01258;42.102233;-73.46408;MA;Massachusetts;South Egremont
01259;42.079208;-73.238182;MA;Massachusetts;Southfield
01260;42.2775;-73.2778;MA;Massachusetts;South Lee
01262;42.296779;-73.32588;MA;Massachusetts;Stockbridge
01263;42.2878;-73.3208;MA;Massachusetts;Stockbridge
01264;42.22651;-73.197611;MA;Massachusetts;Tyringham
01266;42.288658;-73.377778;MA;Massachusetts;West Stockbridge
01267;42.642268;-73.252598;MA;Massachusetts;Williamstown
01270;42.51307;-73.050235;MA;Massachusetts;Windsor
01301;42.631883;-72.59742;MA;Massachusetts;Greenfield
01302;42.5878;-72.6003;MA;Massachusetts;Greenfield
01330;42.525896;-72.80934;MA;Massachusetts;Ashfield
01331;42.560683;-72.183898;MA;Massachusetts;Athol
01337;42.690129;-72.585089;MA;Massachusetts;Bernardston
01338;42.580045;-72.800323;MA;Massachusetts;Buckland
01339;42.63166;-72.878137;MA;Massachusetts;Charlemont
01340;42.675342;-72.740774;MA;Massachusetts;Colrain
01341;42.509748;-72.699049;MA;Massachusetts;Conway
01342;42.539988;-72.618433;MA;Massachusetts;Deerfield
01343;42.651664;-72.990795;MA;Massachusetts;Drury
01344;42.608914;-72.42456;MA;Massachusetts;Erving
01346;42.665724;-72.833294;MA;Massachusetts;Heath
01347;42.5567;-72.5186;MA;Massachusetts;Lake Pleasant
01349;42.573938;-72.484196;MA;Massachusetts;Millers Falls
01350;42.721188;-72.975162;MA;Massachusetts;Monroe Bridge
01351;42.548217;-72.511166;MA;Massachusetts;Montague
01354;42.63841;-72.509488;MA;Massachusetts;Gill
01355;42.426036;-72.316418;MA;Massachusetts;New Salem
01360;42.666519;-72.446882;MA;Massachusetts;Northfield
01364;42.620458;-72.294444;MA;Massachusetts;Orange
01366;42.445872;-72.213524;MA;Massachusetts;Petersham
01367;42.69587;-72.934949;MA;Massachusetts;Rowe
01368;42.670469;-72.197026;MA;Massachusetts;Royalston
01370;42.601438;-72.739108;MA;Massachusetts;Shelburne Falls
01373;42.464914;-72.61716;MA;Massachusetts;South Deerfield
01375;42.466106;-72.555454;MA;Massachusetts;Sunderland
01376;42.593404;-72.540041;MA;Massachusetts;Turners Falls
01378;42.666338;-72.344874;MA;Massachusetts;Warwick
01379;42.554654;-72.408295;MA;Massachusetts;Wendell
01380;42.588368;-72.395956;MA;Massachusetts;Wendell Depot
01420;42.582812;-71.80659;MA;Massachusetts;Fitchburg
01430;42.655656;-71.922012;MA;Massachusetts;Ashburnham
01431;42.673591;-71.834337;MA;Massachusetts;Ashby
01432;42.562912;-71.568824;MA;Massachusetts;Ayer
01434;42.534958;-71.611484;MA;Massachusetts;Devens
01436;42.600122;-72.086316;MA;Massachusetts;Baldwinville
01438;42.565092;-72.031569;MA;Massachusetts;East Templeton
01440;42.589966;-71.986054;MA;Massachusetts;Gardner
01441;42.575;-71.9988;MA;Massachusetts;Westminster
01450;42.61619;-71.576808;MA;Massachusetts;Groton
01451;42.498546;-71.581862;MA;Massachusetts;Harvard
01452;42.484168;-72.011197;MA;Massachusetts;Hubbardston
01453;42.524468;-71.772212;MA;Massachusetts;Leominster
01460;42.537958;-71.484974;MA;Massachusetts;Littleton
01462;42.587142;-71.720924;MA;Massachusetts;Lunenburg
01463;42.665524;-71.599356;MA;Massachusetts;Pepperell
01464;42.579502;-71.644512;MA;Massachusetts;Shirley
01467;42.48442;-71.62897;MA;Massachusetts;Still River
01468;42.543162;-72.066854;MA;Massachusetts;Templeton
01469;42.659557;-71.702288;MA;Massachusetts;Townsend
01470;42.6112;-71.5752;MA;Massachusetts;Groton
01471;42.6112;-71.5752;MA;Massachusetts;Groton
01472;42.6006;-71.6302;MA;Massachusetts;West Groton
01473;42.559479;-71.908706;MA;Massachusetts;Westminster
01474;42.66967;-71.743376;MA;Massachusetts;West Townsend
01475;42.660866;-72.048898;MA;Massachusetts;Winchendon
01477;42.7021;-72.0237;MA;Massachusetts;Winchendon Springs
01501;42.195675;-71.84607;MA;Massachusetts;Auburn
01503;42.384234;-71.629366;MA;Massachusetts;Berlin
01504;42.039526;-71.530657;MA;Massachusetts;Blackstone
01505;42.35397;-71.717353;MA;Massachusetts;Boylston
01506;42.194498;-72.103822;MA;Massachusetts;Brookfield
01507;42.131775;-71.973205;MA;Massachusetts;Charlton
01508;42.1476;-71.9982;MA;Massachusetts;Charlton City
01509;42.1733;-71.9794;MA;Massachusetts;Charlton Depot
01510;42.4132;-71.69127;MA;Massachusetts;Clinton
01515;42.207255;-72.048914;MA;Massachusetts;East Brookfield
01516;42.054573;-71.754706;MA;Massachusetts;Douglas
01517;42.4728;-71.8395;MA;Massachusetts;East Princeton
01518;42.106473;-72.114044;MA;Massachusetts;Fiskdale
01519;42.202961;-71.68107;MA;Massachusetts;Grafton
01520;42.333798;-71.853266;MA;Massachusetts;Holden
01521;42.064504;-72.168424;MA;Massachusetts;Holland
01522;42.376355;-71.872314;MA;Massachusetts;Jefferson
01523;42.47212;-71.667642;MA;Massachusetts;Lancaster
01524;42.240144;-71.918765;MA;Massachusetts;Leicester
01525;42.0973;-71.6455;MA;Massachusetts;Linwood
01526;42.0945;-71.7482;MA;Massachusetts;Manchaug
01527;42.1908;-71.779474;MA;Massachusetts;Millbury
01529;42.039469;-71.577323;MA;Massachusetts;Millville
01531;42.320452;-72.129492;MA;Massachusetts;New Braintree
01532;42.330073;-71.635176;MA;Massachusetts;Northborough
01534;42.136202;-71.642674;MA;Massachusetts;Northbridge
01535;42.268925;-72.08293;MA;Massachusetts;North Brookfield
01536;42.224812;-71.68933;MA;Massachusetts;North Grafton
01537;42.162944;-71.891157;MA;Massachusetts;North Oxford
01538;42.0878;-71.6417;MA;Massachusetts;North Uxbridge
01540;42.121482;-71.854026;MA;Massachusetts;Oxford
01541;42.456909;-71.890806;MA;Massachusetts;Princeton
01542;42.201258;-71.910758;MA;Massachusetts;Rochdale
01543;42.383117;-71.961566;MA;Massachusetts;Rutland
01545;42.28678;-71.713616;MA;Massachusetts;Shrewsbury
01546;42.2959;-71.7134;MA;Massachusetts;Shrewsbury
01550;42.067572;-72.044007;MA;Massachusetts;Southbridge
01560;42.174762;-71.679842;MA;Massachusetts;South Grafton
01561;42.4444;-71.6876;MA;Massachusetts;South Lancaster
01562;42.247962;-71.990742;MA;Massachusetts;Spencer
01564;42.439322;-71.776608;MA;Massachusetts;Sterling
01566;42.101636;-72.079806;MA;Massachusetts;Sturbridge
01568;42.176133;-71.604529;MA;Massachusetts;Upton
01569;42.062542;-71.64365;MA;Massachusetts;Uxbridge
01570;42.058201;-71.848067;MA;Massachusetts;Webster
01571;42.059683;-71.936768;MA;Massachusetts;Dudley
01580;42.2695;-71.6164;MA;Massachusetts;Westborough
01581;42.266153;-71.60922;MA;Massachusetts;Westborough
01582;42.2695;-71.6164;MA;Massachusetts;Westborough
01583;42.359146;-71.782384;MA;Massachusetts;West Boylston
01585;42.227596;-72.164598;MA;Massachusetts;West Brookfield
01586;42.1756;-71.8027;MA;Massachusetts;West Millbury
01588;42.125659;-71.664119;MA;Massachusetts;Whitinsville
01590;42.135437;-71.755846;MA;Massachusetts;Sutton
01601;42.2627;-71.8028;MA;Massachusetts;Worcester
01602;42.274402;-71.847756;MA;Massachusetts;Worcester
01603;42.244677;-71.844808;MA;Massachusetts;Worcester
01604;42.249198;-71.764908;MA;Massachusetts;Worcester
01605;42.288915;-71.79578;MA;Massachusetts;Worcester
01606;42.313314;-71.796346;MA;Massachusetts;Worcester
01607;42.225438;-71.78724;MA;Massachusetts;Worcester
01608;42.258592;-71.803034;MA;Massachusetts;Worcester
01609;42.28755;-71.83067;MA;Massachusetts;Worcester
01610;42.242612;-71.810432;MA;Massachusetts;Worcester
01611;42.235219;-71.876892;MA;Massachusetts;Cherry Valley
01612;42.315184;-71.934535;MA;Massachusetts;Paxton
01613;42.2627;-71.8028;MA;Massachusetts;Worcester
01614;42.2627;-71.8028;MA;Massachusetts;Worcester
01615;42.2627;-71.8028;MA;Massachusetts;Worcester
01653;42.2627;-71.8028;MA;Massachusetts;Worcester
01654;42.2627;-71.8028;MA;Massachusetts;Worcester
01655;42.2627;-71.8028;MA;Massachusetts;Worcester
01701;42.323168;-71.435188;MA;Massachusetts;Framingham
01702;42.278748;-71.443616;MA;Massachusetts;Framingham
01703;42.3026;-71.4236;MA;Massachusetts;Framingham
01704;42.3026;-71.4236;MA;Massachusetts;Framingham
01705;42.3026;-71.4236;MA;Massachusetts;Framingham
